@relation 'out-weka.filters.unsupervised.attribute.Remove-R1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SVMAttributeEval -X 1 -Y 0 -Z 0 -P 1.0E-14 -T 1.0E-5 -C 0.5 -N 0-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute '0.357rfc+0.356numberOfLinesOfCode+0.35 numberOfMethods+0.344wmc+0.307numberOfPublicMethods...' numeric
@attribute -0.67numberOfAttributes+0.647numberOfPublicAttributes+0.305numberOfPrivateAttributes-0.168numberOfPrivateMethods-0.056rfc... numeric
@attribute -0.361numberOfPublicAttributes+0.342fanIn-0.329numberOfPrivateMethods-0.3numberOfAttributes-0.283numberOfAttributesInherited... numeric
@attribute 0.632numberOfPrivateAttributes+0.531noc-0.387fanOut-0.212cbo+0.209numberOfAttributes... numeric
@attribute -0.517noc-0.382fanIn-0.334numberOfAttributes-0.322numberOfPublicAttributes-0.319cbo... numeric
@attribute -0.454numberOfPublicAttributes+0.393fanOut+0.337numberOfPrivateAttributes-0.33numberOfAttributes-0.327lcom... numeric
@attribute 0.412noc+0.372numberOfAttributesInherited-0.367numberOfMethodsInherited-0.319numberOfPrivateAttributes-0.313numberOfAttributes... numeric
@attribute -0.593fanOut+0.515fanIn+0.369numberOfPrivateMethods-0.265noc+0.202dit... numeric
@attribute '-0.563dit-0.526numberOfMethodsInherited-0.42numberOfAttributesInherited+0.23 numberOfAttributes+0.203numberOfPrivateAttributes...' numeric
@attribute -0.656numberOfAttributesInherited+0.444numberOfMethodsInherited+0.341noc-0.323numberOfPrivateAttributes-0.239fanIn... numeric
@attribute bugs {0,1}

@data
-1.296987,0.000289,0.676672,-0.371584,0.346993,-0.483956,0.338729,0.195254,1.348973,0.100516,0
1.403191,0.104063,-0.895741,-1.434648,-0.33825,0.164679,1.041475,-1.386117,-0.361857,-1.354648,0
-1.025914,0.301966,0.192059,-0.380577,-0.130923,-1.040382,0.05537,0.098546,1.607579,0.152447,0
-0.77645,-0.039104,-0.291618,0.27676,0.427336,-0.045078,-0.42412,0.268621,-0.728711,0.216729,0
-0.068909,0.221908,-0.282939,-0.579619,-0.142321,-0.630637,-0.048476,-0.233832,-0.008482,-0.021508,0
-1.154447,-0.078598,0.567001,-0.001684,-0.003344,-0.310126,0.309166,0.298615,0.506949,0.30131,0
-0.523758,0.042679,0.094378,0.318115,0.51498,-0.010284,-0.335037,-0.00934,0.162868,-0.105893,0
-0.585106,0.329942,0.287181,0.730342,0.616466,0.391102,-0.653698,0.065766,1.134499,-0.454756,0
-1.366329,-0.097678,-1.365446,0.128675,-0.029791,-0.183674,0.198961,0.331443,-3.033366,-0.541833,0
0.509645,0.615602,-0.882573,0.613943,0.075244,-0.131952,-0.518432,-0.180529,0.415884,-0.714292,0
-0.655109,-0.410688,0.448792,0.237278,0.519972,-0.828293,-0.268157,0.101959,0.675723,0.204885,0
-1.163413,0.005249,0.577555,-0.363622,0.243474,-0.399544,0.161308,0.339502,0.906312,0.128754,0
3.516166,0.857275,-0.578713,-1.606401,-3.600378,0.279758,-0.758799,-0.781637,-1.019345,-1.408856,1
-1.155365,-0.013098,0.85646,-0.130514,0.164833,-0.348797,0.551612,-0.022967,1.259477,0.281356,0
-1.292158,-0.034066,0.822406,0.26432,-0.080195,-0.22086,0.691823,0.044135,0.771659,0.522135,0
2.953017,-0.286219,0.051358,-0.788892,-0.802881,1.385922,0.421722,0.010975,0.774725,0.442252,1
-0.793617,-0.031923,0.792635,-0.450693,0.4862,-0.415938,0.204564,-0.051903,1.089172,0.193656,0
-1.04593,0.065952,0.308471,0.042332,0.398543,0.018601,-0.236893,0.32728,0.485668,0.063941,0
-0.160542,-0.065245,-0.334026,0.468864,-0.602072,0.707504,-0.689831,-0.214222,-2.508863,1.906195,1
1.277787,0.441838,-0.861546,0.416137,-2.117305,-0.066277,1.263686,-1.327157,-1.635848,0.143635,1
-1.351519,-0.070234,0.526266,-0.227015,0.403755,-0.32245,0.069302,0.41973,0.595928,0.38549,0
1.727294,0.371104,-0.040741,0.414433,-1.089467,1.212284,0.608871,-1.111282,0.114448,0.359519,1
0.67691,-0.01331,-1.933201,-0.844094,-0.327273,0.393404,0.342149,-0.553054,-3.261088,-0.543125,1
-0.440524,0.155582,-0.249946,-0.515106,-0.055143,-0.510163,-0.002906,-0.203795,-0.06604,-0.029772,0
-0.571435,-0.038243,0.36819,-0.46106,0.465613,-0.423462,0.443947,0.137512,1.391856,0.25837,0
5.607066,0.758586,4.056143,1.68144,-8.023406,3.139071,1.909409,0.973181,-2.488587,-0.55522,0
-1.083772,-0.085855,0.407164,-0.00752,0.035429,-0.103606,0.079269,0.260762,0.042356,0.620864,0
-1.069721,0.026367,-0.762832,0.556372,-0.749246,-0.1795,0.712409,0.102977,-2.433339,-0.502855,0
-0.008877,0.880223,-0.648627,2.884658,1.12774,0.846678,-1.298689,-0.035926,1.199818,-1.920772,0
-0.492666,0.064645,-0.604274,-0.331788,-0.220121,-0.802478,-0.217189,0.149961,-0.004985,0.29851,1
-1.339417,-0.084602,-1.114225,0.005416,-0.031239,-0.193855,0.377603,0.178389,-2.474029,-0.740713,0
