@relation 'out-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Reorder-R1-17,19,20,18-weka.filters.unsupervised.attribute.Remove-R2,8,11-12-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6'

@attribute cbo {'\'(-inf-17.5]\'','\'(17.5-inf)\''}
@attribute fanIn {'\'(-inf-14.5]\'','\'(14.5-inf)\''}
@attribute fanOut {'\'(-inf-4.5]\'','\'(4.5-14.5]\'','\'(14.5-inf)\''}
@attribute lcom {'\'(-inf-180.5]\'','\'(180.5-inf)\''}
@attribute noc {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute numberOfAttributes {'\'(-inf-7.5]\'','\'(7.5-inf)\''}
@attribute numberOfLinesOfCode {'\'(-inf-122.5]\'','\'(122.5-328.5]\'','\'(328.5-inf)\''}
@attribute numberOfMethods {'\'(-inf-19.5]\'','\'(19.5-inf)\''}
@attribute numberOfPrivateMethods {'\'(-inf-3.5]\'','\'(3.5-inf)\''}
@attribute numberOfPublicAttributes {'\'(-inf-6.5]\'','\'(6.5-inf)\''}
@attribute numberOfPublicMethods {'\'(-inf-13.5]\'','\'(13.5-inf)\''}
@attribute rfc {'\'(-inf-88.5]\'','\'(88.5-inf)\''}
@attribute wmc {'\'(-inf-56.5]\'','\'(56.5-141.5]\'','\'(141.5-inf)\''}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}
@attribute bugs {0,1}

@data
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(-inf-4.5]\'','\'(-inf-180.5]\'','\'(-inf-0.5]\'','\'(-inf-7.5]\'','\'(-inf-122.5]\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-13.5]\'','\'(-inf-88.5]\'','\'(-inf-56.5]\'',no,no,0
'\'(17.5-inf)\'','\'(-inf-14.5]\'','\'(14.5-inf)\'','\'(180.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-7.5]\'','\'(328.5-inf)\'','\'(19.5-inf)\'','\'(-inf-3.5]\'','\'(6.5-inf)\'','\'(-inf-13.5]\'','\'(88.5-inf)\'','\'(56.5-141.5]\'',yes,yes,0
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(-inf-4.5]\'','\'(-inf-180.5]\'','\'(-inf-0.5]\'','\'(7.5-inf)\'','\'(-inf-122.5]\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(6.5-inf)\'','\'(-inf-13.5]\'','\'(-inf-88.5]\'','\'(-inf-56.5]\'',yes,no,0
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(-inf-4.5]\'','\'(-inf-180.5]\'','\'(-inf-0.5]\'','\'(-inf-7.5]\'','\'(-inf-122.5]\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-13.5]\'','\'(-inf-88.5]\'','\'(-inf-56.5]\'',no,no,0
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(4.5-14.5]\'','\'(-inf-180.5]\'','\'(-inf-0.5]\'','\'(7.5-inf)\'','\'(122.5-328.5]\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(6.5-inf)\'','\'(-inf-13.5]\'','\'(-inf-88.5]\'','\'(56.5-141.5]\'',yes,no,0
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(-inf-4.5]\'','\'(-inf-180.5]\'','\'(0.5-inf)\'','\'(-inf-7.5]\'','\'(-inf-122.5]\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-13.5]\'','\'(-inf-88.5]\'','\'(-inf-56.5]\'',no,no,0
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(-inf-4.5]\'','\'(-inf-180.5]\'','\'(-inf-0.5]\'','\'(-inf-7.5]\'','\'(-inf-122.5]\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-13.5]\'','\'(-inf-88.5]\'','\'(-inf-56.5]\'',no,no,0
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(-inf-4.5]\'','\'(-inf-180.5]\'','\'(-inf-0.5]\'','\'(-inf-7.5]\'','\'(-inf-122.5]\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-13.5]\'','\'(-inf-88.5]\'','\'(-inf-56.5]\'',no,no,0
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(-inf-4.5]\'','\'(-inf-180.5]\'','\'(-inf-0.5]\'','\'(-inf-7.5]\'','\'(-inf-122.5]\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-13.5]\'','\'(-inf-88.5]\'','\'(-inf-56.5]\'',yes,no,0
'\'(-inf-17.5]\'','\'(-inf-14.5]\'','\'(4.5-14.5]\'','\'(-inf-180.5]\'','\'(-inf-0.5]\'','\'(7.5-inf)\'','\'(328.5-inf)\'','\'(-inf-19.5]\'','\'(-inf-3.5]\'','\'(6.5-inf)\'','\'(-inf-13.5]\'','\'(88.5-inf)\'','\'(56.5-141.5]\'',yes,no,0
